event_date,event_country,event_name,player_place,prize_usd,player_id,source,last_updated
2-Aug-20,International,"$ 1,500 MILLIONAIRE MAKER (Event #17)World Series of Poker - WSOP Online 2020 at GGPoker, Online",713th,2115,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
26-Jul-20,International,"$ 400 No Limit Hold'em - COLOSSUS (Event #10)World Series of Poker - WSOP Online 2020 at GGPoker, Online",391st,1761,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
3-Feb-20,Taiwan,"NT$ 31,500 + 3,500 No Limit Hold'em - APPT Open Main EventAsia Pacific Poker Tour - APPT Taipei, Taipei City",25th,2781,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
16-Dec-19,United States,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic (Event #22)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",67th,26220,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
14-Dec-19,United States,"$ 5,000 + 200 No Limit Hold'em (Event #15)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",2nd,117031,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
3-Dec-19,United States,"$ 5,000 No Limit Hold'em - Week 12 - Whales vs. Wizards Event #1 Poker After Dark (PAD) Season X, Las Vegas",2nd,13500,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
29-Nov-19,United States,"$ 3,200 + 300 No Limit Hold'em - WPT Seminole Rock & Roll Poker Open (Event #14)World Poker Tour - WPT Seminole Rock & Roll Poker Open, Hollywood",73rd,7735,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
23-Nov-19,United States,"$ 1,700 No Limit Hold'em - Main EventWSOP Circuit - WSOPC Planet Hollywood, Las Vegas",92nd,2598,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
29-Oct-19,Canada,"C$ 3,000 + 300 No Limit Hold'em - WPT Main EventWorld Poker Tour - WPT Montreal in partnership with partypoker LIVE, Kahnawake",35th,10465,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
31-Aug-19,United States,"$ 5,000 No Limit Hold'em - WPT Legends of Poker (Event #33)World Poker Tour - WPT Legends of Poker, Los Angeles",8th,58265,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Aug-19,Spain,"€ 1,100 No Limit Hold'em - EPT National (Event #6)European Poker Tour - EPT Barcelona, Barcelona",407th,2472,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Jul-19,United States,"$ 1,500 + 100 No Limit Hold'em ChampionshipThe Wynn Summer Classic, Las Vegas",159th,4506,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
28-Jun-19,United States,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Vegaspartypoker LIVE - partypoker MILLIONS Vegas, Las Vegas",69th,20000,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
27-May-19,United States,"$ 9,500 + 500 No Limit Hold'em - WPT ARIA Summer ChampionshipWorld Poker Tour - WPT ARIA Summer Championship, Las Vegas",11th,34365,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
25-Jan-19,Australia,"A$ 24,000 + 1,000 No Limit Hold'em - Challenge #92019 Aussie Millions Poker Championship, Melbourne",14th,45064,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
12-Jan-19,United States,"$ 9,600 + 400 No Limit Hold'em - WPT Gardens Poker Championship Main EventWorld Poker Tour - WPT Gardens Poker Championship, Los Angeles",28th,19120,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Sep-18,South Korea,"KRW 1,100,000 No Limit Hold'em - Main EventWorld Poker Tour - WPT Korea, Incheon",10th,4829,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
31-Aug-18,Spain,"€ 10,300 No Limit Hold'em - High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",62nd,21144,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Aug-18,Philippines,"<U+20B1> 184,000 + 16,000 No Limit Hold'em - High Roller Shot Clock & BB Ante (Event #19)Asia Pacific Poker Tour - APPT Manila, Manila",12th,7492,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Jul-18,United States,"$ 4,700 + 300 No Limit Hold'em - WPT Gardens Main Event (Event #10)World Poker Tour - WPT Gardens Poker Festival, Los Angeles",10th,55010,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
23-Jun-18,United States,"$ 1,500 No Limit Hold'em - Monster Stack (Event #48)49th World Series of Poker - WSOP 2018, Las Vegas",595th,2973,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
14-Jun-18,United States,"$ 1,020 + 80 No Limit Hold'em2018 The Wynn Summer Classic, Las Vegas",155th,3252,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
8-Jun-18,United States,"$ 5,000 No Limit Hold'em (Event #20)49th World Series of Poker - WSOP 2018, Las Vegas",72nd,7860,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
28-May-18,United States,"$ 1,100 No Limit Hold'em - Summer Kick Off #28DeepStack Championship Poker Series, Las Vegas",25th,3403,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
20-May-18,United States,"$ 9,600 + 400 No Limit Hold'em - WPT Bobby Baldwin ClassicWorld Poker Tour - Season XVI WPT Tournament of Champions, Las Vegas",2nd,248380,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
26-Jan-18,Australia,"A$ 24,000 + 1,000 No Limit Hold'em - $25,000 Challenge (Event #9)2018 Aussie Millions Poker Championship, Melbourne",4th,198731,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
16-Aug-17,Spain,"€ 10,300 No Limit Hold'em - 8 Handed #7PokerStars Championship Barcelona, Barcelona",21st,21967,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
1-Aug-17,Macau,"HK$ 50,000 No Limit Hold'em - High Roller2017 MBP Summer Showdown, Macau",8th,21382,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
14-Jul-17,United States,"$ 1,100 + 80 No Limit Hold'em - SuperStack #99Deepstack Extravaganza III, Las Vegas",96th,3474,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
18-Jun-17,United States,"$ 5,000 No Limit Hold'em - 6 Handed (Event #36)48th World Series of Poker - WSOP 2017, Las Vegas",52nd,8734,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
15-Jun-17,United States,"$ 2,500 No Limit Hold'em (Event #29)48th World Series of Poker - WSOP 2017, Las Vegas",76th,5209,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
14-Jun-17,United States,"$ 3,000 No Limit Hold'em - 6 Handed (Event #27)48th World Series of Poker - WSOP 2017, Las Vegas",128th,4509,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
5-Jun-17,United States,"$ 1,000 No Limit Hold'em - Tag Team (Event #10)48th World Series of Poker - WSOP 2017, Las Vegas",120th,750,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
30-Mar-17,Macau,"HK$ 8,000 + 800 No Limit Hold'em - PokerStars National Championship #4PokerStars Championship Macau, Macau",127th,1570,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
5-Mar-17,United States,"$ 1,950 + 150 No Limit Hold'em - Shooting Star EventWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",13th,7720,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
10-Feb-17,Macau,"HK$ 7,200 + 800 No Limit Hold'em - Baby Dragon Event 11Macau Poker Cup 26, Macau",21st,3789,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
17-Jan-17,Australia,"A$ 1,025 + 125 No Limit Hold'em - Six Max (Event #6)2017 Aussie Millions Poker Championship, Melbourne",3rd,34683,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
18-Dec-16,Czech Republic,"€ 2,000 + 200 No Limit Hold'em - 8-Handed Deepstack (Event #88)European Poker Tour - EPT Prague, Prague",20th,3792,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
13-Dec-16,Czech Republic,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",174th,9716,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
7-Nov-16,Macau,"HK$ 95,000 + 5,000 No Limit Hold'em - Main Event (Event #10)2016 Asia Championship of Poker (ACOP), Macau",19th,32513,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
22-Aug-16,Spain,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #24)European Poker Tour - EPT Barcelona, Barcelona",152nd,10482,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Aug-16,Spain,"€ 2,000 + 200 No Limit Hold'em - Estrellas High Roller (Event #21)European Poker Tour - EPT Barcelona, Barcelona",148th,4154,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
17-Aug-16,Spain,"€ 10,000 + 300 No Limit Hold'em (Event #7)European Poker Tour - EPT Barcelona, Barcelona",6th,114071,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
9-Jul-16,United States,"$ 10,000 No Limit Hold'em Main Event Championship (Event #68)47th World Series of Poker - WSOP 2016, Las Vegas",839th,16007,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
10-Jun-16,United States,"$ 1,500 No Limit Hold'em Millionaire Maker  (Event #14)47th World Series of Poker - WSOP 2016, Las Vegas",544th,3221,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
25-Feb-16,Macau,"HK$ 3,600 + 400 No Limit Hold'em - 6 MaxAsia Pacific Poker Tour - APPT Macau Poker Cup, Macau",16th,1085,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
24-Jan-16,Australia,"A$ 10,000 + 600 No Limit Hold'em Main Event  (Event #11)2016 Aussie Millions Poker Championship, Melbourne",6th,189018,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
10-Dec-15,Czech Republic,"€ 5,000 + 300 #38 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Prague, Prague",47th,17716,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Nov-15,Macau,"HK$ 18,000 + 2,000 No Limit Hold'em - Teams ChampionshipAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",1st,10656,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
25-Oct-15,Malta,"€ 5,000 + 300 #32 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Malta, Portomaso",16th,29874,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
24-Aug-15,Spain,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event #29European Poker Tour - EPT Barcelona, Barcelona",89th,17757,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
22-Aug-15,Spain,"€ 200 + 20 No Limit Hold'em - Women's EventEuropean Poker Tour - EPT Barcelona, Barcelona",19th,423,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
25-Jun-15,United States,"$ 3,000 No Limit Hold'em Six Handed (Event #51)46th World Series of Poker - WSOP 2015, Las Vegas",73rd,6691,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
4-Jun-15,United States,"$ 1,500 No Limit Hold'em Shootout (Event #14)46th World Series of Poker - WSOP 2015, Las Vegas",4th,82890,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
18-Nov-14,Canada,"C$ 1,000 + 100 No Limit Hold'em WPT Warm-upWorld Poker Tour - WPT Montreal, Kahnawake",13th,3248,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
2-Nov-14,Macau,"HK$ 25,000 No Limit Hold'em ACOP Warm UpAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",8th,23931,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
1-Nov-14,Macau,"HK$ 8,800 No Limit Hold'em Ladies ChampionshipAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",3rd,4255,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
28-Aug-14,United States,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",248th,7483,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Aug-14,Spain,"€ 5,000 + 300 #17 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",176th,12364,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
27-Jun-14,United States,"$ 2,500 No Limit Hold'em - Main EventHollywood Poker Open, Las Vegas",3rd,142158,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
30-Apr-14,Monaco,"€ 1,000 + 100 No Limit Hold'emEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",35th,2699,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
16-Apr-14,Italy,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Sanremo, Sanremo",21st,5869,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
9-Apr-14,Italy,"€ 700 + 70 No Limit Hold'em - IPT Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",34th,3854,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
12-Dec-13,Czech Republic,"€ 5,000 + 300 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Prague, Prague",144th,11785,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
6-Oct-13,England,"£ 5,000 + 250 No Limit Hold'em - Main EventEuropean Poker Tour - EPT London, London",41st,18525,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
4-Sep-13,Spain,"€ 1,000 + 100 No Limit Hold'em - Re-EntryEuropean Poker Tour - EPT Barcelona, Barcelona",20th,7183,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
1-Sep-13,Spain,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Barcelona, Barcelona",115th,15182,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
27-Jul-13,Macau,"HK$ 23,000 + 2,000 No Limit Hold'em - Main EventAsian Poker Tour - APT Macau, Macau",23rd,6058,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
29-Jun-13,United States,"$ 1,500 No Limit Hold'em (Event #53)44th World Series of Poker - WSOP 2013, Las Vegas",17th,23760,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
1-Jun-13,United States,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #6)44th World Series of Poker - WSOP 2013, Las Vegas",609th,2740,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Apr-13,Germany,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Berlin, Berlin",84th,13108,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
21-Apr-13,Germany,"€ 300 + 30 No Limit Hold'em - Women's EventEuropean Poker Tour - EPT Berlin, Berlin",3rd,2097,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
10-Mar-13,England,"£ 5,000 + 250 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT London, London",22nd,26334,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
23-Feb-13,United States,"$ 400 No Limit Hold'emDeep Stack Extravaganza I, Las Vegas",4th,9156,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
27-Jan-13,Australia,"A$ 10,600 No Limit Hold'em - Main Event2013 Aussie Millions Poker Championship, Melbourne",17th,58063,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
26-Jan-13,Australia,"A$ 1,650 No Limit Hold'em - Bounty2013 Aussie Millions Poker Championship, Melbourne",9th,10557,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
24-Jan-13,Australia,"A$ 1,100 No Limit Hold'em - Six Max2013 Aussie Millions Poker Championship, Melbourne",33rd,3378,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
26-Oct-12,Macau,"HK$ 9,200 + 800 No Limit Hold'em - Deepstack ChampionshipsAsia Pacific Poker Tour - APPT Asia Championship of Poker, Taipa",11th,3871,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
29-Sep-12,France,"€ 10,000 + 450 No Limit Hold'em - Main Event (Event #7)World Series Of Poker Europe - WSOPE 2012, Cannes",28th,29983,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
16-Sep-12,Malta,"€ 3,000 + 300 No Limit Hold'em - Main EventWorld Poker Tour - WPT Malta, Portomaso",4th,50649,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
3-Sep-12,France,"€ 8,500 No Limit Hold'em - Main EventPartouche Poker Tour - PPT La Grande Finale, Cannes",49th,25143,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
17-Jun-12,United States,"$ 1,000 No Limit Hold'em (Event #33)43rd World Series of Poker - WSOP 2012, Las Vegas",256th,1836,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
9-Jun-12,United States,"$ 600 No Limit Hold'emDeep Stack Extravaganza III, Las Vegas",9th,2834,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
29-Apr-12,Philippines,"<U+20B1> 46,000 + 4,000 No Limit Hold'em - Six HandedAsia Pacific Poker Tour - APPT Cebu, Cebu",3rd,10695,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
25-Apr-12,Philippines,"<U+20B1> 92,000 + 800 No Limit Hold'em - Main EventAsia Pacific Poker Tour - APPT Cebu, Cebu",23rd,4116,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
22-Apr-12,Philippines,"$ 320 + 30 No Limit Hold'emAsian Poker Tour - APT Manila, Manila",1st,8550,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Mar-12,South Korea,"KRW 1,000,000 + 300,000 No Limit Hold'em - High Roller EventAsia Pacific Poker Tour - APPT Seoul, Seoul",3rd,15778,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
16-Feb-12,United States,"$ 340 No Limit Hold'emDeep Stack Extravaganza I, Las Vegas",4th,5714,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
14-Feb-12,United States,"$ 450 No Limit Hold'em - Big BountyDeep Stack Extravaganza I, Las Vegas",4th,2961,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
24-Oct-11,Italy,"€ 2,000 + 200 No Limit Hold'emEuropean Poker Tour - EPT Sanremo, Sanremo",25th,6866,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
8-Oct-11,France,"€ 400 No Limit Hold'em - Turbo BountyWorld Series Of Poker Europe - WSOPE 2011, Cannes",7th,1456,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
30-Sep-11,England,"£ 5,000 + 250 No Limit Hold'em - Main EventEuropean Poker Tour - EPT London, London",59th,17192,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
22-Aug-11,Philippines,"<U+20B1> 10,000 + 1,000 No Limit Hold'emAsian Poker Tour - APT Manila, Manila",6th,1258,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
3-Aug-11,Macau,"HK$ 2,500 Heads Up No Limit Hold'emAsian Poker King Tournament, Macau",2nd,2337,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
1-Jul-11,United States,"$ 550 No Limit Hold'emDeep Stack Extravaganza III, Las Vegas",36th,2233,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
25-Jun-11,United States,"$ 550 No Limit Hold'emDeep Stack Extravaganza III, Las Vegas",35th,1395,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
8-Jun-11,United States,"$ 1,500 No Limit Hold'em - Shootout42nd World Series of Poker - WSOP 2011, Las Vegas",88th,4998,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
17-Feb-11,United States,"$ 340 No Limit Hold'em2011 Venetian Deep Stack Extravaganza, Las Vegas",13th,1237,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Feb-11,United States,"$ 340 No Limit Hold'em2011 Venetian Deep Stack Extravaganza, Las Vegas",13th,959,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
7-Feb-11,United States,"$ 550 No Limit Hold'em2011 Venetian Deep Stack Extravaganza, Las Vegas",12th,2003,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
4-Feb-11,United States,"$ 550 No Limit Hold'em2011 Venetian Deep Stack Extravaganza, Las Vegas",21st,1268,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
1-Feb-11,United States,"$ 340 No Limit Hold'em2011 Venetian Deep Stack Extravaganza, Las Vegas",4th,4296,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
18-Nov-10,United States,"$ 300 + 40 No Limit Hold'em2010 Venetian Deep Stack Extravaganza IV, Las Vegas",20th,851,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
7-Nov-10,United States,"$ 1,000 + 70 No Limit Hold'em2010 Venetian Deep Stack Extravaganza IV, Las Vegas",11th,2548,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
6-Nov-10,United States,"$ 500 + 50 No Limit Hold'em2010 Venetian Deep Stack Extravaganza IV, Las Vegas",24th,1364,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
4-Nov-10,United States,"$ 300 + 40 No Limit Hold'em2010 Venetian Deep Stack Extravaganza IV, Las Vegas",18th,1114,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
18-Jun-10,United States,"$ 500 + 50 No Limit Hold'em2010 Venetian Deep Stack Extravaganza III, Las Vegas",45th,1414,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
15-Jun-10,United States,"$ 300 + 40 No Limit Hold'em2010 Venetian Deep Stack Extravaganza III, Las Vegas",34th,1057,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
15-May-10,Macau,"HK$ 10,000 No Limit Hold'emAsia Pacific Poker Tour - APPT Macau, Macau",12th,2891,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
20-Apr-10,United States,"$ 340 No Limit Hold'em - Ladies EventWSOP Circuit - WSOPC Caesars Palace, Las Vegas",1st,7357,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
17-Apr-10,United States,"$ 550 No Limit Hold'em2010 Deep Stack Extravaganza II, Las Vegas",15th,1476,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Apr-10,United States,"$ 550 No Limit Hold'em2010 Deep Stack Extravaganza II, Las Vegas",6th,3052,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
20-Feb-10,United States,"$ 5,000 No Limit Hold'em2010 Deep Stack Extravaganza, Las Vegas",92nd,9643,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
16-Dec-09,Macau,"HK$ 1,000 No Limit Hold'em - Charity EventThe Macau Poker Cup Championship, Macau",2nd,2776,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
14-Dec-09,Macau,"HK$ 2,000 No Limit Hold'emThe Macau Poker Cup Championship, Macau",2nd,2877,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
11-Dec-09,Macau,"HK$ 1,000 No Limit Hold'emThe Macau Poker Cup Championship, Macau",4th,975,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
24-Oct-09,Macau,"HK$ 9,400 + 600 No Limit Hold'em - Main EventPokerStars Macau Poker Cup, Macau",1st,71899,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
10-Jul-09,Macau,"HK$ 1,350 + 150 No Limit Hold'em - Deep StackPokerStars Macau Poker Cup, Macau",15th,352,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
24-Nov-07,Macau,"HK$ 3,770 No Limit Hold'emAsia Pacific Poker Tour - APPT Macau, Taipa",8th,1337,98102,https://pokerdb.thehendonmob.com/player.php?a=r&n=98102,10/19/2021
30-Jan-20,England,"£ 1,350 + 150 No Limit Hold'em - GUKPT Main EventGrosvenor UK Poker Tour - GUKPT London Leg 1, London",5th,30677,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
29-Apr-17,Monaco,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event (Event 24)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",135th,8255,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
16-Oct-14,England,"£ 10,000 + 300 #32 No Limit Hold'em - EPT High RollerEuropean Poker Tour - EPT London, London",11th,52622,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
2-Oct-14,Isle of Man,"£ 700 + 70 No Limit Hold'em - Main EventUK & Ireland Poker Tour - UKIPT Isle of Man, Douglas",40th,3239,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
14-Apr-14,Italy,"€ 4,600 + 300 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",1st,660947,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
10-Oct-13,England,"£ 10,000 + 300 No Limit Hold'em - High RollerEuropean Poker Tour - EPT London, London",20th,31430,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
2-Oct-13,England,"£ 1,000 + 100 No Limit Hold'em - UKIPT Main EventEuropean Poker Tour - EPT London, London",111th,2934,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
14-Mar-13,England,"£ 10,000 + 300 No Limit Hold'em - High RollerEuropean Poker Tour - EPT London, London",6th,101019,403,https://pokerdb.thehendonmob.com/player.php?a=r&n=403,10/19/2021
